# SYNTHETIC DATA - fictional training records, not clinical evidence.
interaction_id,hcp_id,therapeutic_area,date,msl,channel,verbatim,source_file,source_record
cardiometabolic-obesity:OBS-016,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity,2026-06-12,MSL-06,Face-to-face,Asked whether weight loss translates into any hard outcome or just the number on the scale.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-016
cardiometabolic-obesity:OBS-017,cardiometabolic-obesity:HCP-129,cardiometabolic-obesity,2026-06-09,MSL-04,Phone,"Says her patients regain rapidly and blame themselves, which is a harm in itself.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-017
cardiometabolic-obesity:OBS-018,cardiometabolic-obesity:HCP-125,cardiometabolic-obesity,2026-06-18,MSL-07,Virtual,Reports one patient with severe dehydration requiring intravenous fluids after persistent vomiting.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-018
cardiometabolic-obesity:OBS-019,cardiometabolic-obesity:HCP-111,cardiometabolic-obesity,2026-05-15,MSL-07,Virtual,Thinks the discontinuation rate in the trial understates real-world discontinuation considerably.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-019
cardiometabolic-obesity:OBS-020,cardiometabolic-obesity:HCP-125,cardiometabolic-obesity,2026-04-20,MSL-05,Face-to-face,Asked whether there is a maintenance dose strategy anyone has studied.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-020
cardiometabolic-obesity:OBS-021,cardiometabolic-obesity:HCP-115,cardiometabolic-obesity,2026-06-17,MSL-04,Face-to-face,Says insurance coverage is the single biggest determinant of who gets treated.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-021
cardiometabolic-obesity:OBS-022,cardiometabolic-obesity:HCP-105,cardiometabolic-obesity,2026-05-06,MSL-03,Phone,Notes that patients with binge eating disorder respond differently and nobody studies them.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-022
cardiometabolic-obesity:OBS-023,cardiometabolic-obesity:HCP-114,cardiometabolic-obesity,2026-04-23,MSL-02,Face-to-face,Reports a patient whose diabetes control improved so much they stopped their oral agents.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-023
cardiometabolic-obesity:OBS-024,cardiometabolic-obesity:HCP-135,cardiometabolic-obesity,2026-04-21,MSL-03,Face-to-face,Says the competitor's CV outcomes data is what cardiologists cite and we have nothing comparable.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-024
cardiometabolic-obesity:OBS-025,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity,2026-04-12,MSL-02,Phone,Asked whether muscle mass loss matters clinically or is a surrogate concern.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-025
cardiometabolic-obesity:OBS-026,cardiometabolic-obesity:HCP-105,cardiometabolic-obesity,2026-06-04,MSL-02,Virtual,Reports declining effect in one patient after eight months at a stable dose.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-026
cardiometabolic-obesity:OBS-027,cardiometabolic-obesity:HCP-111,cardiometabolic-obesity,2026-06-17,MSL-07,Face-to-face,Says the nausea is manageable but the anticipatory nausea before injection is not.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-027
cardiometabolic-obesity:OBS-028,cardiometabolic-obesity:HCP-127,cardiometabolic-obesity,2026-04-25,MSL-01,Phone,"Notes that the trial excluded patients with significant psychiatric history, who are a large part of her clinic.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-028
cardiometabolic-obesity:OBS-029,cardiometabolic-obesity:HCP-124,cardiometabolic-obesity,2026-06-22,MSL-07,Face-to-face,Asked whether we would support an investigator-initiated study on discontinuation strategies.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-029
cardiometabolic-obesity:OBS-030,cardiometabolic-obesity:HCP-120,cardiometabolic-obesity,2026-06-28,MSL-02,Virtual,"Reports that a patient took a double dose after confusing the pen strengths; monitored, no harm.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-030
cardiometabolic-obesity:OBS-031,cardiometabolic-obesity:HCP-105,cardiometabolic-obesity,2026-06-26,MSL-07,Congress,Says patients ask about facial appearance changes and there is nothing in the label about it.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-031
cardiometabolic-obesity:OBS-032,cardiometabolic-obesity:HCP-140,cardiometabolic-obesity,2026-05-19,MSL-03,Face-to-face,Thinks the field is heading toward combination with resistance training and nobody has trial data.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-032
cardiometabolic-obesity:OBS-033,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity,2026-06-20,MSL-05,Virtual,Reports a patient with a new gallstone requiring cholecystectomy at month five.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-033
cardiometabolic-obesity:OBS-034,cardiometabolic-obesity:HCP-137,cardiometabolic-obesity,2026-06-18,MSL-04,Virtual,Says primary care colleagues are prescribing without any structured support and outcomes are worse.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-034
cardiometabolic-obesity:OBS-035,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity,2026-04-19,MSL-01,Virtual,Asked what proportion of trial patients were still on treatment at 72 weeks.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-035
cardiometabolic-obesity:OBS-036,cardiometabolic-obesity:HCP-102,cardiometabolic-obesity,2026-06-07,MSL-07,Phone,Notes that the competitor's oral formulation is preferred by needle-averse patients even at lower efficacy.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-036
cardiometabolic-obesity:OBS-037,cardiometabolic-obesity:HCP-119,cardiometabolic-obesity,2026-04-24,MSL-06,Phone,Reports one patient who lost weight rapidly then developed severe fatigue and stopped.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-037
cardiometabolic-obesity:OBS-038,cardiometabolic-obesity:HCP-128,cardiometabolic-obesity,2026-05-24,MSL-01,Face-to-face,"Says the biggest question in her clinic is 'for how long', and there is no answer.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-038
cardiometabolic-obesity:OBS-039,cardiometabolic-obesity:HCP-139,cardiometabolic-obesity,2026-05-10,MSL-01,Congress,Asked whether the effect differs by ethnicity; said the trial population was not representative of her practice.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-039
cardiometabolic-obesity:OBS-040,cardiometabolic-obesity:HCP-129,cardiometabolic-obesity,2026-06-22,MSL-02,Face-to-face,Reports a patient with worsening gastroparesis symptoms who had pre-existing diabetes.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-040
cardiometabolic-obesity:OBS-041,cardiometabolic-obesity:HCP-128,cardiometabolic-obesity,2026-04-06,MSL-07,Face-to-face,Says the storage and travel requirements are a real barrier for shift workers.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-041
cardiometabolic-obesity:OBS-042,cardiometabolic-obesity:HCP-127,cardiometabolic-obesity,2026-04-04,MSL-06,Face-to-face,Thinks the weight regain data should be in the label and is not.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-042
cardiometabolic-obesity:OBS-043,cardiometabolic-obesity:HCP-122,cardiometabolic-obesity,2026-04-28,MSL-06,Congress,Reports two patients who stopped because of cost when insurance changed.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-043
cardiometabolic-obesity:OBS-044,cardiometabolic-obesity:HCP-109,cardiometabolic-obesity,2026-06-06,MSL-01,Phone,Asked whether there is any signal on bone density.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-044
cardiometabolic-obesity:OBS-045,cardiometabolic-obesity:HCP-120,cardiometabolic-obesity,2026-06-24,MSL-04,Phone,Says her service cannot scale to demand and the waiting list is over a year.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-045
cardiometabolic-obesity:OBS-046,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity,2026-04-10,MSL-03,Face-to-face,"Notes that patients who lose weight quickly seem to regain fastest, but she has no data.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-046
cardiometabolic-obesity:OBS-047,cardiometabolic-obesity:HCP-122,cardiometabolic-obesity,2026-06-17,MSL-05,Virtual,Reports a patient who developed severe constipation requiring hospital assessment.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-047
cardiometabolic-obesity:OBS-048,cardiometabolic-obesity:HCP-138,cardiometabolic-obesity,2026-04-06,MSL-02,Congress,Asked whether there is guidance on managing patients who plateau.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-048
cardiometabolic-obesity:OBS-049,cardiometabolic-obesity:HCP-130,cardiometabolic-obesity,2026-04-21,MSL-02,Congress,Says the competitor field team have been more present in primary care than ours.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-049
cardiometabolic-obesity:OBS-050,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity,2026-05-25,MSL-01,Face-to-face,"Reports one patient using it for cosmetic weight loss at a BMI of 26, obtained privately.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-050
cardiometabolic-obesity:OBS-051,cardiometabolic-obesity:HCP-113,cardiometabolic-obesity,2026-05-23,MSL-07,Congress,"Thinks the real unmet need is maintenance, not induction of weight loss.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-051
cardiometabolic-obesity:OBS-052,cardiometabolic-obesity:HCP-102,cardiometabolic-obesity,2026-05-19,MSL-03,Phone,Asked whether combination with an oral agent has been studied.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-052
cardiometabolic-obesity:OBS-053,cardiometabolic-obesity:HCP-120,cardiometabolic-obesity,2026-06-01,MSL-02,Face-to-face,Reports a patient whose HbA1c fell below the prediabetes threshold and asks whether treatment can stop.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-053
cardiometabolic-obesity:OBS-054,cardiometabolic-obesity:HCP-115,cardiometabolic-obesity,2026-05-20,MSL-06,Face-to-face,Says she cannot answer patient questions about long-term safety and it undermines the conversation.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-054
